datetime,portfolio_value,cash,positions,return
2024-12-16 08:30:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",
2024-12-16 09:30:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2024-12-16 09:30:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2024-12-17 09:30:00-05:00,99981.90002441406,93940.0,"[{'asset': USD, 'quantity': 93940.0}, {'asset': SPY, 'quantity': 10.0}]",-0.0001809997558593901
2024-12-18 09:30:00-05:00,99979.7998046875,93940.0,"[{'asset': USD, 'quantity': 93940.0}, {'asset': SPY, 'quantity': 10.0}]",-2.1005999346401794e-05
2024-12-19 09:30:00-05:00,99853.59985351562,93940.0,"[{'asset': USD, 'quantity': 93940.0}, {'asset': SPY, 'quantity': 10.0}]",-0.0012622544895909416
2024-12-20 09:30:00-05:00,99757.7001953125,93940.0,"[{'asset': USD, 'quantity': 93940.0}, {'asset': SPY, 'quantity': 10.0}]",-0.0009604026128633425
2024-12-21 09:30:00-05:00,99757.7001953125,93940.0,"[{'asset': USD, 'quantity': 93940.0}, {'asset': SPY, 'quantity': 10.0}]",0.0
2024-12-21 09:29:00-05:00,99757.7001953125,93940.0,"[{'asset': USD, 'quantity': 93940.0}, {'asset': SPY, 'quantity': 10.0}]",0.0
2024-12-23 08:30:00-05:00,99868.56014648438,93959.66,"[{'asset': USD, 'quantity': 93959.66}, {'asset': SPY, 'quantity': 10.0}]",0.0011112921704774514
2024-12-23 09:30:00-05:00,99868.56014648438,93959.66,"[{'asset': USD, 'quantity': 93959.66}, {'asset': SPY, 'quantity': 10.0}]",0.0
2024-12-23 09:30:00-05:00,99868.56014648438,93959.66,"[{'asset': USD, 'quantity': 93959.66}, {'asset': SPY, 'quantity': 10.0}]",0.0
2024-12-24 09:30:00-05:00,99920.25997558594,93959.66,"[{'asset': USD, 'quantity': 93959.66}, {'asset': SPY, 'quantity': 10.0}]",0.0005176787271763406
2024-12-25 09:30:00-05:00,99920.25997558594,93959.66,"[{'asset': USD, 'quantity': 93959.66}, {'asset': SPY, 'quantity': 10.0}]",0.0
2024-12-25 09:29:00-05:00,99920.25997558594,93959.66,"[{'asset': USD, 'quantity': 93959.66}, {'asset': SPY, 'quantity': 10.0}]",0.0
2024-12-26 08:30:00-05:00,99954.66,93959.66,"[{'asset': USD, 'quantity': 93959.66}, {'asset': SPY, 'quantity': 10.0}]",0.0003442747689255121
2024-12-26 09:30:00-05:00,99954.66,93959.66,"[{'asset': USD, 'quantity': 93959.66}, {'asset': SPY, 'quantity': 10.0}]",0.0
2024-12-26 09:30:00-05:00,99954.66,93959.66,"[{'asset': USD, 'quantity': 93959.66}, {'asset': SPY, 'quantity': 10.0}]",0.0
2024-12-27 09:30:00-05:00,99935.05978027344,93959.66,"[{'asset': USD, 'quantity': 93959.66}, {'asset': SPY, 'quantity': 10.0}]",-0.00019609110497265103
2024-12-28 09:30:00-05:00,99935.05978027344,93959.66,"[{'asset': USD, 'quantity': 93959.66}, {'asset': SPY, 'quantity': 10.0}]",0.0
2024-12-28 09:29:00-05:00,99935.05978027344,93959.66,"[{'asset': USD, 'quantity': 93959.66}, {'asset': SPY, 'quantity': 10.0}]",0.0
2024-12-30 08:30:00-05:00,99838.56014648438,93959.66,"[{'asset': USD, 'quantity': 93959.66}, {'asset': SPY, 'quantity': 10.0}]",-0.0009656234158585963
2024-12-30 09:30:00-05:00,99838.56014648438,93959.66,"[{'asset': USD, 'quantity': 93959.66}, {'asset': SPY, 'quantity': 10.0}]",0.0
2024-12-30 09:30:00-05:00,99838.56014648438,93959.66,"[{'asset': USD, 'quantity': 93959.66}, {'asset': SPY, 'quantity': 10.0}]",0.0
2024-12-31 15:59:00-05:00,99858.75973144532,93959.66,"[{'asset': USD, 'quantity': 93959.66}, {'asset': SPY, 'quantity': 10.0}]",0.00020232247872264963
2024-12-31 16:00:00-05:00,99858.75973144532,93959.66,"[{'asset': USD, 'quantity': 93959.66}, {'asset': SPY, 'quantity': 10.0}]",0.0
