Metric,SPY,Strategy
Risk-Free Rate,4.21%,4.21%
Time in Market,60.0%,67.0%
,,
Total Return,-3%,-0%
CAGR% (Annual Return),-51.54%,-3.62%
,,
Sharpe,-3.66,-6.58
RoMaD,-17.12,-16.13
Corr to Benchmark,1.0,0.16
Prob. Sharpe Ratio,16.86%,22.28%
Smart Sharpe,-3.01,-5.42
Sortino,-4.17,-7.24
Smart Sortino,-3.43,-5.96
Sortino/√2,-2.95,-5.12
Smart Sortino/√2,-2.42,-4.21
Omega,0.36,0.36
,,
Max Drawdown,-3.01%,-0.22%
Longest DD Days,14,14
Volatility (ann.),19.1%,1.15%
R^2,0.02,0.02
Information Ratio,0.17,0.17
Calmar,-17.12,-16.13
Skew,-1.5,-0.31
Kurtosis,3.89,0.71
,,
Expected Daily%,-0.19%,-0.01%
Expected Monthly%,-2.74%,-0.14%
Expected Yearly%,-2.74%,-0.14%
Daily Value-at-Risk,-1.82%,-0.11%
Expected Shortfall (cVaR),-1.82%,-0.11%
,,
MTD,-2.74%,-0.14%
3M,-2.74%,-0.14%
6M,-2.74%,-0.14%
YTD,-2.74%,-0.14%
1Y,-2.74%,-0.14%
3Y (ann.),-51.54%,-3.62%
5Y (ann.),-51.54%,-3.62%
10Y (ann.),-51.54%,-3.62%
All-time (ann.),-51.54%,-3.62%
,,
Best Day,1.19%,0.11%
Worst Day,-2.98%,-0.13%
Best Month,-2.74%,-0.14%
Worst Month,-2.74%,-0.14%
Best Year,-2.74%,-0.14%
Worst Year,-2.74%,-0.14%
,,
Avg. Drawdown,-3.01%,-0.22%
Avg. Drawdown Days,14,14
Recovery Factor,0.9,0.63
Ulcer Index,0.02,0.0
Serenity Index,-1.19,-9.95
,,
Avg. Up Month,-,-
Avg. Down Month,-2.74%,-0.14%
Win Days,6.67,6.0
Loss Days,8.33,9.0
Win Days%,44.44%,40.0%
Win Month%,0.0%,0.0%
Win Quarter%,0.0%,0.0%
Win Year%,0.0%,0.0%
,,
Beta,-,0.01
Alpha,-,-0.03
Correlation,-,15.77%
Treynor Ratio,-,-459.03%
