Metric,SPY,Strategy
Risk-Free Rate,4.21%,4.21%
Time in Market,60.0%,67.0%
,,
Total Return,-3%,-1%
CAGR% (Annual Return),-51.54%,-26.47%
,,
Sharpe,-3.66,-3.37
RoMaD,-17.12,-14.2
Corr to Benchmark,1.0,0.16
Prob. Sharpe Ratio,16.86%,22.64%
Smart Sharpe,-3.01,-2.77
Sortino,-4.17,-4.14
Smart Sortino,-3.43,-3.4
Sortino/√2,-2.95,-2.93
Smart Sortino/√2,-2.42,-2.41
Omega,0.57,0.57
,,
Max Drawdown,-3.01%,-1.86%
Longest DD Days,14,14
Volatility (ann.),19.1%,9.61%
R^2,0.02,0.02
Information Ratio,0.1,0.1
Calmar,-17.12,-14.2
Skew,-1.5,-0.29
Kurtosis,3.89,0.72
,,
Expected Daily%,-0.19%,-0.08%
Expected Monthly%,-2.74%,-1.17%
Expected Yearly%,-2.74%,-1.17%
Daily Value-at-Risk,-1.82%,-0.9%
Expected Shortfall (cVaR),-1.82%,-0.9%
,,
MTD,-2.74%,-1.17%
3M,-2.74%,-1.17%
6M,-2.74%,-1.17%
YTD,-2.74%,-1.17%
1Y,-2.74%,-1.17%
3Y (ann.),-51.54%,-26.47%
5Y (ann.),-51.54%,-26.47%
10Y (ann.),-51.54%,-26.47%
All-time (ann.),-51.54%,-26.47%
,,
Best Day,1.19%,0.94%
Worst Day,-2.98%,-1.05%
Best Month,-2.74%,-1.17%
Worst Month,-2.74%,-1.17%
Best Year,-2.74%,-1.17%
Worst Year,-2.74%,-1.17%
,,
Avg. Drawdown,-3.01%,-1.86%
Avg. Drawdown Days,14,14
Recovery Factor,0.9,0.62
Ulcer Index,0.02,0.01
Serenity Index,-1.19,-1.49
,,
Avg. Up Month,-,-
Avg. Down Month,-2.74%,-1.17%
Win Days,6.67,6.0
Loss Days,8.33,9.0
Win Days%,44.44%,40.0%
Win Month%,0.0%,0.0%
Win Quarter%,0.0%,0.0%
Win Year%,0.0%,0.0%
,,
Beta,-,0.08
Alpha,-,-0.23
Correlation,-,15.8%
Treynor Ratio,-,-67.73%
