Metric,SPY,Strategy
Risk-Free Rate,4.21%,4.21%
Time in Market,69.0%,69.0%
,,
Total Return,96%,682%
CAGR% (Annual Return),14.7%,52.01%
,,
Sharpe,0.56,0.96
RoMaD,0.44,0.88
Corr to Benchmark,1.0,-0.07
Prob. Sharpe Ratio,45.79%,70.25%
Smart Sharpe,0.53,0.9
Sortino,0.78,1.54
Smart Sortino,0.74,1.45
Sortino/√2,0.55,1.09
Smart Sortino/√2,0.52,1.03
Omega,1.23,1.23
,,
Max Drawdown,-33.68%,-59.23%
Longest DD Days,708,708
Volatility (ann.),21.1%,54.55%
R^2,0.01,0.01
Information Ratio,0.04,0.04
Calmar,0.44,0.88
Skew,-0.6,2.32
Kurtosis,17.83,34.56
,,
Expected Daily%,0.04%,0.11%
Expected Monthly%,1.15%,3.55%
Expected Yearly%,14.41%,50.87%
Daily Value-at-Risk,-1.77%,-4.54%
Expected Shortfall (cVaR),-1.77%,-4.54%
,,
MTD,-2.06%,-1.94%
3M,2.86%,5.78%
6M,8.78%,13.42%
YTD,26.05%,46.62%
1Y,25.35%,44.28%
3Y (ann.),11.3%,21.23%
5Y (ann.),14.7%,52.01%
10Y (ann.),14.7%,52.01%
All-time (ann.),14.7%,52.01%
,,
Best Day,9.06%,39.39%
Worst Day,-10.94%,-19.45%
Best Month,12.7%,37.76%
Worst Month,-12.44%,-28.92%
Best Year,28.77%,196.05%
Worst Year,-18.16%,-34.34%
,,
Avg. Drawdown,-1.91%,-4.64%
Avg. Drawdown Days,18,20
Recovery Factor,2.33,4.67
Ulcer Index,0.09,0.19
Serenity Index,0.49,1.16
,,
Avg. Up Month,4.26%,9.36%
Avg. Down Month,-4.49%,-8.15%
Win Days,983.02,991.59
Loss Days,809.98,801.41
Win Days%,54.83%,55.3%
Win Month%,66.1%,69.49%
Win Quarter%,75.0%,75.0%
Win Year%,80.0%,80.0%
,,
Beta,-,-0.19
Alpha,-,0.59
Correlation,-,-7.34%
Treynor Ratio,-,-3569.94%
