time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-02-03 09:30:00-05:00,Trader,41c19ef394de4472ae5d8c10c3637bf3,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,Trader,41c19ef394de4472ae5d8c10c3637bf3,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.3500061035156,155.0,0.0
2020-02-10 09:30:00-05:00,Trader,e5c59b9184fd4ad7a01c83245bdfd0d6,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,Trader,e5c59b9184fd4ad7a01c83245bdfd0d6,SPY,sell,market,fill,1,gtc,0.0,1,stock,331.2300109863281,227.0,0.0
2020-02-13 09:30:00-05:00,Trader,47103ca2cad648ffbff8c914236182b8,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,Trader,47103ca2cad648ffbff8c914236182b8,SPY,sell,market,fill,1,gtc,0.0,1,stock,335.8599853515625,335.0,0.0
2020-03-06 09:30:00-05:00,Trader,9b27433bd3b246248f65a9ee24d19890,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,Trader,9b27433bd3b246248f65a9ee24d19890,SPY,sell,market,fill,1,gtc,0.0,1,stock,293.1499938964844,576.0,0.0
2020-03-09 09:30:00-04:00,Trader,1040d0f4665b46c18719e475b9d2ea3c,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-09 09:30:00-04:00,Trader,1040d0f4665b46c18719e475b9d2ea3c,SPY,sell,market,fill,1,gtc,0.0,1,stock,275.29998779296875,920.0,0.0
2020-04-13 09:30:00-04:00,Trader,6d838c91438345148db803ce019259b3,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-04-13 09:30:00-04:00,Trader,6d838c91438345148db803ce019259b3,SPY,sell,market,fill,1,gtc,0.0,1,stock,277.1400146484375,1365.0,0.0
2020-04-27 09:30:00-04:00,Trader,8bc368791f484069b92ea2c491dd3341,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,Trader,dd3c7fa4f1b34067be743bc963060785,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,Trader,8bc368791f484069b92ea2c491dd3341,SPY,buy,market,fill,1,day,0.0,1,stock,285.1199951171875,3578.0,0.0
2020-04-27 09:30:00-04:00,Trader,dd3c7fa4f1b34067be743bc963060785,SPY,buy,market,fill,1,gtc,0.0,1,stock,285.1199951171875,1991.0,0.0
