Metric,SPY,Strategy
Risk-Free Rate,4.21%,4.21%
Time in Market,69.0%,69.0%
,,
Total Return,26%,13%
CAGR% (Annual Return),26.17%,13.71%
,,
Sharpe,1.58,0.64
RoMaD,3.11,1.27
Corr to Benchmark,1.0,0.38
Prob. Sharpe Ratio,85.53%,53.78%
Smart Sharpe,1.57,0.64
Sortino,2.27,0.86
Smart Sortino,2.26,0.86
Sortino/√2,1.6,0.61
Smart Sortino/√2,1.6,0.61
Omega,1.12,1.12
,,
Max Drawdown,-8.41%,-10.83%
Longest DD Days,64,140
Volatility (ann.),12.57%,15.54%
R^2,0.15,0.15
Information Ratio,-0.03,-0.03
Calmar,3.11,1.27
Skew,-0.54,-0.98
Kurtosis,3.89,7.95
,,
Expected Daily%,0.06%,0.04%
Expected Monthly%,1.91%,1.05%
Expected Yearly%,25.53%,13.39%
Daily Value-at-Risk,-1.02%,-1.3%
Expected Shortfall (cVaR),-1.02%,-1.3%
,,
MTD,-2.06%,-1.52%
3M,2.86%,4.45%
6M,8.78%,10.16%
YTD,25.53%,13.39%
1Y,25.53%,13.39%
3Y (ann.),26.17%,13.71%
5Y (ann.),26.17%,13.71%
10Y (ann.),26.17%,13.71%
All-time (ann.),26.17%,13.71%
,,
Best Day,2.49%,3.82%
Worst Day,-2.98%,-5.41%
Best Month,5.96%,5.51%
Worst Month,-3.86%,-4.83%
Best Year,25.53%,13.39%
Worst Year,25.53%,13.39%
,,
Avg. Drawdown,-1.28%,-2.47%
Avg. Drawdown Days,9,18
Recovery Factor,2.8,1.27
Ulcer Index,0.02,0.04
Serenity Index,1.8,0.31
,,
Avg. Up Month,3.33%,3.42%
Avg. Down Month,-2.96%,-2.53%
Win Days,212.47,196.46
Loss Days,145.53,161.54
Win Days%,59.35%,54.88%
Win Month%,75.0%,66.67%
Win Quarter%,100.0%,75.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.47
Alpha,-,0.03
Correlation,-,38.3%
Treynor Ratio,-,19.38%
